Key,zh-Hans,en,ja
System.Loading,???...,Loading...,?????...
System.Initializing,????...,Initializing...,????...
System.LoadingERB,???? ERB ??...,Loading ERB files...,ERB??????????...
System.LoadingCSV,???? CSV ??...,Loading CSV files...,CSV??????????...
System.ProcessingComplete,????,Processing Complete,????
System.PressEnterToExit,?????????,Press Enter key or click to exit,????????????????????
Error.NotImplemented,????????????,This feature is not available in the current version,??????????????????
Error.FolderNotFound,??????,Folder not found,????????????
Error.CSVFolderNotFound,??? CSV ???,CSV folder not found,csv????????????
Error.ERBFolderNotFound,??? ERB ???,ERB folder not found,erb????????????
Error.DebugFolderCreateFailed,?? debug ?????,Failed to create debug folder,debug??????????????
Error.FileOrFolderNotFound,????????????,The specified file or folder does not exist,?????????????????????
Error.OnlyERBFilesAllowed,???? ERB ??,Only ERB files can be dropped,????????????ERB????????
Error.AlreadyRunning,??????,Already running,?????????
Error.AllowMultipleInstancesHint,??????????? emuera.config,To allow multiple instances modify emuera.config,????????????emuera.config?????????
MessageBox.Title,??,Notice,??
MessageBox.FolderNotFoundTitle,??????,Folder not found,??????
