Key,zh-Hans,en,ja
Options.MenuPad.Menu1.resolution.Text,?????,Resolution,?????????
Options.MenuPad.Menu1.language.Text,????,Language,?????
Options.MenuPad.Menu1.github.Text,Github,Github,Github
Options.MenuPad.Menu1.exit.Text,????,Exit,?????????
Options.MenuPad.Menu2.back.Text,????,Back To Menu,???????
Options.MenuPad.Menu2.intent.Text,????,Intent Setting,???????
Options.MenuPad.Menu2.savelog.Text,????,Save Log,???????
Options.MenuPad.Menu2.gototitle.Text,????,Back To Title,???????
Options.MenuPad.Menu2.restart.Text,????,Reload,?????
Options.MenuPad.Menu2.exit.Text,????,Exit,??????
Options.Resolution.Pad.1080p.Text,1080p,1080p,1080p
Options.Resolution.Pad.900p.Text,900p,900p,900p
Options.Resolution.Pad.720p.Text,720p,720p,720p
Options.Resolution.Pad.540p.Text,540p,540p,540p
Options.LanguageBox.border.titlebar.title,????,Choose Language,?????
Options.LanguageBox.border.zh_cn.Text,????,????,????
Options.LanguageBox.border.jp.Text,???,???,???
Options.LanguageBox.border.en_us.Text,English,English,English
Options.IntentBox.border.titlebar.title,????,Intent Setting,???????
Options.IntentBox.border.L_left.Text,?,?,?
Options.IntentBox.border.L_right.Text,?,?,?
Options.IntentBox.border.R_left.Text,?,?,?
Options.IntentBox.border.R_right.Text,?,?,?
Options.IntentBox.border.close.Text,??,Close,???
Options.IntentBox.border.reset.Text,??,Reset,????
FirstWindow.Titlebar.title,????,Game List,??????
<Menu1>,200,200,310
<Menu2>,200,240,280
